Sebi bans 3 individuals for 6 months in front running case. Ideas For Profit | SBI: Stellar asset quality at FY21 end; Can the stock rally more?. Indian customers can now invest in five new global markets: ICICI Direct. Gainers & Losers: 10 stocks that moved most on May 24. Buy Ajanta Pharma; target of Rs 2205: Dolat Capital Market. After The Bell: Sensex rallies 111 points, what should investors do on Tuesday?. FIIs shift money from software, banking and insurance to these 4 sectors in first half of May. Record trading volumes from retail investors helping small & midcaps outperform, says Keval Bhanushali of Marwadi Shares and Finance. Birlasoft share price hits 52-week high; Anand Rathi expects more upside. JSW Steel stock price falls despite manifold jump in Q4 PAT. Dhanuka Agritech: Still offers margin of safety. Butterfly Gandhimathi shares surge 19% to hit all-time high; ICICI Direct raises target price. How much more can SBI stock rally on the back of stellar asset quality in FY21?. Benchmarks eye record highs: 10 technical recommendations by experts for next 3-4 weeks. Natco Pharma share price hits 52- week high on DCGI nod for production of 'Black Fungus' drug. Agri Picks Report: Geojit. Buy USDINR; target of: 73.00 - 73.15 : ICICI Direct. What should investors do with SBI post Q4: buy, sell or hold?. Buzzing Stocks: Shree Cement, JSW Steel, United Spirits and others that will be in focus today. Market cap of BSE-listed firms hit $3 trillion mark; small & mid-caps lead the charge. DAILY VOICE | Indian market a tad expensive than its peers, China still cheaper: Nitin Sharma of Fidelity International. Hot Stocks: Piramal Enterprises, Jamna Auto top stocks to buy in the short-term	1
Ideas For Profit | Mas Financial: Valuation down to IPO level, time to add?. After The Bell: Sensex zooms 975 points, what should investors do on Monday?. Gainers & Losers: 10 stocks that moved most on May 21. Buy Dalmia Bharat target of Rs 2140: Prabhudas Lilladher. Buy IndusInd Bank target of Rs 1195: Prabhudas Lilladher. Buy Persistent Systems target of Rs 2344: Prabhudas Lilladher. Top 10 stocks where institutional investors, promoters raised stake in Q4 rallied up to 1,300% in one year. Coromandel International and Chambal Fertilisers top stocks to play fertiliser subsidy theme. Buy Inox Leisure target of Rs 368: Prabhudas Lilladher. Buy Ambuja Cement target of Rs 375: Prabhudas Lilladher. Buy Exide Industries target of Rs 227: Prabhudas Lilladher. Buy TVS Motors target of Rs 658: Prabhudas Lilladher. Buy Maruti Suzuki target of Rs 7619: Prabhudas Lilladher. Buy HCL Technologies target of Rs 1010: Prabhudas Lilladher. Agri Picks Report: Geojit. Bitcoin Crashed – China News or Hurst’s Time Cycles Working?. Bank & financial stocks rally led by IndusInd Bank, HDFC twins; SBI most active ahead of results. ICICI Direct picks Ashok Leyland, Minda Industries to play cyclical uptrend. Garware Hi-Tech Films share price rises 8% after Ashish Kacholia raises stake. SBI Cards – A quintessential consumption play that stands to gain from peaking of second wave. Mutual funds bought stakes in these IPOs in the March quarter. What’s the takeaway for you?. Havells India share price down 3% despite YoY rise in net profit; global brokerage retains sell. SBI share price rises ahead of March quarter results. What should investors do with Zee Entertainment post Q4 results: buy, sell or hold?. What should investors do with HPCL: buy, sell or hold post Q4?. Weekly Tactical Pick | Dollar Industries. Mas Financial – Time to add a good business in a soft patch?. Sell USDINR; target of: 73.05 - 73.00 : ICICI Direct. 8 factors why retail participation increased during COVID. Ashish Kacholia raises stake in Garware Hi-Tech Films, Dalmia Power offloads 4.47% in IEX. Buzzing Stocks: SBI, HPCL, Havells India and others that will be in focus today. Trade Spotlight: What should investors do with HFCL, JustDial & Ruchi Soya?. DAILY VOICE | India not expensive relative to other emerging markets: Jyotivardhan Jaipuria of Valentis. Hot Stocks: India Cements, Phillips Carbon and Bharat Electronics top buys for short term; here’s why	1
Ideas for profit | Aarti Industries: Buy with investment horizon of 3-5 years. Buy Tech Mahindra target of Rs 1132: Prabhudas Lilladher. Buy Mphasis target of Rs 1869: Prabhudas Lilladher. Buy ICICI Bank target of Rs 700: Prabhudas Lilladher. Buy Bharti Airtel; target of Rs 720: Motilal Oswal. Gainers & Losers: 10 stocks that moved most on May 20. Buy Castrol (India); target of Rs 170: Motilal Oswal. Buy Maruti Suzuki; target of Rs 8450: Motilal Oswal. Buy Axis Bank; target of Rs 925: Motilal Oswal. Buy Gateway Distriparks; target of Rs 260: ICICI Direct. HPL Electric share price locked at upper circuit on Rs 372 crore orders. Buy Bajaj Finance; target of Rs 5900: ICICI Direct. M&M share price rises 3%; CLSA maintains buy but cuts target. These 13 smallcap stocks are at 30% discount to their 52-week high, but above 200-DMA. JK Tyre share price rises 3% on robust Q4 results; board recommends dividend. Cipla share price gains on launching polymerase chain reaction test kit. Shakti Pumps share price hits new 52-week high after Q4 profit jumps to Rs 23 crore. Rajesh Exports stock price gains after LIC acquires over 59.77 lakh equity shares. Small and midcap outperformance will continue, say experts. Here are 7 stock picks. PI Industries: Next catalyst is the pharma opportunity. Sell USDINR; target of: 73.10 - 73.00: ICICI Direct. What should investors do with IOC: buy, sell or hold post Q4?. Hot Stocks: Here's why Tata Coffee, Shakti Pumps and SPARC are top stocks to buy in short term?. Trade Spotlight: What should investors do with Relaxo Footwear, Praj Industries & Prince Pipes?. DAILY VOICE | Large companies better positioned to ride second COVID wave : IV Subramaniam of Quantum Advisors. Buzzing Stocks: Coforge, Zee Entertainment, JK Tyre and others that will be in focus today	-1
Ideas For Profit | Bharti Airtel: Subscriber addition, jump in data usage aid Q4. After The Bell: Nifty holds 15,000; what should investors do on Thursday?. D-Street Talk Podcast: Opportunity in small & midcaps in COVID times; here are 5 reasons: Harshad Patwardhan. Gainers & Losers: 10 stocks that moved most on May 19. Home First Finance — A worthy long-term bet available at reasonable valuation. Buy Tech Mahindra; target of Rs 1120: ICICI Direct. Buy HCL Technologies; target of Rs 1110: ICICI Direct. Buy Rallis India; target of Rs 350: ICICI Direct. D-Street Buzz: Realty stocks rise led by Brigade Enterprises, Oberoi Realty; Tata Motors drags auto index lower. Buy Ramkrishna Forgings; target of Rs 802: Khambatta Securities. Gland Pharma shares hit fresh record high; Motilal Oswal sets target at Rs 3,280. Prabhudas Lilladher is bullish on these 16 IT stocks; do you own any?. Mid & Smallcap indices hit all-time high ahead of Nifty. Will the trend continue?. Tata Motors: Near-term hiccups to dent performance; wait for better entry point. Brigade Enterprises share price rises 5% on robust Q4 FY21 results. Nifty back above 15,000. Where are the pockets of opportunities?. Anupam Rasayan share price rises 4% on orders worth Rs 540 crore. What should investors do with Torrent Pharma post Q4; buy, sell or hold?. Adani Green shares hit 5% upper circuit on acquisition of SB Energy's renewable portfolio. What should investors do with Tata Motors: buy, sell or hold post Q4?. Agri Picks Report: Geojit. Sell USDINR; target of: 73.10 - 73.00: ICICI Direct. Sensex could hit 61,000 by December in a bull case scenario: Morgan Stanley. Trade Spotlight: What should investors do with Hindustan Zinc, Birla Corp & MRPL?. DAILY VOICE | Smart money to move to large private banks, autos, construction, consumption: Dhananjay Sinha of JM Financial. Buzzing Stocks: Tata Motors, Axis Bank, Sun Pharma and others that will be in focus today. Hot Stocks: Trent, LIC Housing Finance and Berger Paints top stocks to buy for short term	-1
Explained | Copper shines bright: What’s driving the rally?. After The Bell: Auto top sectoral gainer, here’s what investors should do on Wednesday. Gainers & Losers: 10 stocks that moved most on May 18. Do you own these 14 stocks that were upgraded to 'buy' rating, post earnings, for up to 31% return?. Nifty, Sensex back to March levels; these 40 stocks beat market volatility to rise 30-114%. Agri Picks Report: Geojit. These 11 stocks were winners in H1 of last 3 fiscal years surging at least 15% each. Sell USDINR; target of: 73.30 - 73.10: ICICI Direct. Over 250 stocks hit new 52-week high on BSE; Bajaj Finance, Power Grid, Titan top gainers. Trade Spotlight: How should investors trade Birla Corp, Balkrishna Industries, Kaveri Seed Company?. Federal Bank – The cheapest for the quality it offers. Tata Motors share price gains 2% ahead of Q4 results, brokerages forecast 5-fold jump in EBITDA. What should investors do with Bharti Airtel post Q4 results: buy, sell or hold?. Hot Stocks: Here's why Ramco Industries, CARE & Time Technoplast are top bets for short term	1
After The Bell: Benchmark indices start the week on a strong note, what should investors do on Tuesday?. Gainers & Losers: 10 stocks that moved most on May 17. Aditya Birla Capital: Growth Drivers Amid Covid Uncertainty. Steel prices continue to rise but domestic concerns may derail a global opportunity. Hester Biosciences share price surges 30% in two days as talks on to produce Covaxin. Agri Picks Report: Geojit. Sell USDINR; target of: 73.15 - 73.00: ICICI Direct. KRChoksey is bullish on these 10 IT stocks; sees up to 27% upside. Safari – Why the coming weak phase is the best time to add this stock. What should investors do with Dr Reddy's Labs post Q4 result: buy, sell or hold?. Bharti Airtel stock trades lower ahead of Q4 results; here's what brokerages expect. Larsen & Toubro sees COVID second wave as a blip, not a derailment. Shilpa Medicare share price jumps 13% on agreement with Dr Reddy's for production of Sputnik V vaccine. Nifty in wait-and-watch mode, 10 technical trading ideas for short term. Cipla share price down 3% after Q4 earnings misses expectations. What should investors do with L&T post Q4 result: buy, sell or hold?. DAILY VOICE | India's long-term structural story will bring back FIIs once COVID is contained: Mayuresh Joshi of William O’Neil India. Hot Stocks: Here's why ITC is the top buy of the week	1
Ideas for profit | Lupin: Focus on inhalation & biosimilars to aid margins in medium term. Simply Save | Will docking away 20 percent of fund manager’s salary really help investor?. Gainers & Losers: 10 stocks that moved most on May 14. After The Bell: Markets close mixed, what should investors do on Monday?. Buy UPL; target of Rs 850: Dolat Capital Market. Buy DCB bank; target of Rs 160: Dolat Capital Market. Buy CSB Bank; target of Rs 330: Dolat Capital Market. Buy United Breweries; target of Rs 1504: Dolat Capital Market. Buy Axis Bank; target of Rs 875: Dolat Capital Market. Buy Tech Mahindra; target of Rs 1060: Dolat Capital Market. RIL share price rises after Jio announces 2 offers for its customers. A sugar high for these 6 stocks, surge over 60% in a month. Sun Pharma Advanced announces positive results from phase 3 clinical trial; share price falls nearly 9%. Dr Reddy's Labs share price gains as Sputnik V vaccine is launched in India. UPL stock price spikes 9% to 52-week high after earnings beat estimates. How should your COVID-proof portfolio look like? Here are 2 options. Asian Paints shares jump 9% on Q4 results; here's what brokerages have to say after numbers beat estimates. Aviation stocks trade mixed as GoAir files DRHP for Rs 3,600-crore IPO. Buy USDINR; target of: 73.90 - 74.00: ICICI Direct. What should investors do with Lupin post Q2 result: buy, sell or hold?. Happiest Minds – Can it run more after the stellar rally?. Govt assures availability of over 2 billion doses of vaccine this year: BFSI, auto and cement could see renewed buying interest. Buzzing Stocks: L&T, Dr Reddy's Labs, JSPL and others that will be in focus today. Trade Spotlight: What should investors do with Godrej Consumer Products, Godrej Industries & Siemens?. Hot Stocks: Here's why MGL, Maruti Suzuki & Cipla are top stocks to buy on Friday	-1
Meet Sudhir Sitapati, Godrej consumer’s new top boss. Ideas for profit | CSB Bank: Enough triggers for further stock re-rating?. After The Bell: Nifty below 14700 levels; what should investors do on Friday?. Gainers & Losers: 10 stocks that moved most on May 12. Vaccine Update | Panacea Biotech share price up 5% after govt pushes for ramp up in production of COVAXIN. Cadila shares rally 7% as Multiples PE, CPPIB & Rakesh Jhunjhunwala to buy animal Healthcare business. Will Taiwan's COVID-19 warning impact Indian markets? Here's what experts say. Dishman Carbogen shares tumble 10% after reporting net loss of Rs 135.02 crore in Q4. 11 iron & steel companies share price up more than 75% in 3 months. Taiwan, Moody’s cut in India GDP forecasts weigh on markets. FIIs raise stake in over 60% of Nifty50 firms in March quarter, ownership back to pre-COVID levels in Nifty500. Equity MF inflows dip in April; will pick up once COVID situation eases, say experts. Godrej Consumer share price hits upper circuit after 59% jump in Q4 profit. CSB posts stellar earnings; will the stock get rerated further?. Buy USDINR; target of: 73.70 - 73.80 : ICICI Direct. What should investors do with Siemens post Q2 result: buy, sell or hold?. Trade Spotlight: What should investors do with Praj Industries, BHEL and SpiceJet?. Buzzing Stocks: Asian Paints, Infosys, Godrej Consumer and others that will be in focus today. DAILY VOICE: Earnings downgrades could happen in COVID affected sectors in upcoming quarter: Dr. Vikas Gupta of OmniScience Capital. Hot Stocks: BPCL, Mangalore Chemicals and NHPC top buys for short term; here’s why	-1
FANGS and BATS sell-off spooks world stocks. After The Bell: Nifty below 14,900, what should investors do on Wednesday?. Taking Stock | Market snaps four-day winning streak; mid, smallcaps outperform. Gainers & Losers: 10 stocks that moved most on May 11. Buy ICICI Bank; target of Rs 700: Dolat Capital Market. LIC's shareholding in listed companies hit all-time low, but it increased stake in 10 firms in Q4. Buy Rallis India target of Rs 321: Prabhudas Lilladher. Agri Picks Report: Geojit. IndiGo operator InterGlobe Aviation to raise Rs 3,000 crore via QIP, Centrum downgrades stock to 'reduce'. Foreign brokerages raise target price on these 5 stocks. L&T Infotech: Why we sense an opportunity in the current weakness. HSIL share price jumps 7% after net profit surges to Rs 33 crore. EIH: Is the quality hotel stock worth a look at this juncture?. Gold price today: Yellow metal trades flat, buy for a target of Rs 48,200: Experts. Buy USDINR; target of: 73.90 -74.00 : ICICI Direct. Sun Pharma share price hits new 52-week high after getting licence to produce low-cost COVID-19 drug. 'Sell in May & Go Away': Will bears dominate D-Street this month?. Trade Spotlight: What should investors do with Hindustan Copper, Praj Industries & Angel Broking?. Hot Stocks | Natco Pharma, Dredging Corporation, Hatsun Agro can give up to 28% return in short term	1
Dow Jones hits record high as materials, energy stocks jump. After The Bell: 15k breakout crucial for bulls, what should investors do on Tuesday?. Gainers & Losers: 10 stocks that moved most on May 10. 1 lakh crore market-cap: 13 companies enter the niche club in 2021, check out the list. Buy Cyient; target of Rs 825: ICICI Direct. Lockdown impact: FPIs pulls out money from these 10 sectors in April, where is smart money moving?. We expect Nifty50 to breakout and hit 15600 levels: Sacchitanand Uttekar. HDFC Securities picks these 9 mid and smallcap stocks for long term. JSPL shares hit 52-week high on prepayment to lenders, plans to become net debt free. Supply shortage, soaring demand drive up commodity prices, Shankar Sharma explains backwardation in lumber and tin. Vivimed Labs shares hit upper circuit on govt nod to manufacture, market Favipiravir tablet to treat COVID-19. D-Street Buzz: Pharma stocks rise led by Dr Reddy's Labs, Cadila Health; Glenmark hits new 52-week high. Hero MotoCorp share price falls; here's what brokerages said post Q4 nos. The worst may not yet be over for Bandhan Bank even after weak Q4 show. Avenue Supermarts: Good result, but when should one buy the stock?. Technical trades: 10 buy ideas from experts for next 3-4 weeks. DCB Bank share price rises after reporting 13% increase in Q4 net profit to Rs 78 crore. FIIs moving to safer markets like South Korea and Taiwan due to rising COVID cases in india: Dr VK Vijayakumar of Geojit Financial Services. What should investors do with UltraTech Cement post Q4 result: buy, sell or hold?. What should investors do with Bandhan Bank after Q4 results: buy, sell or hold?. What should investors do with Avenue Supermarts post Q4 results: buy, sell or hold?. What should investors do with HDFC post Q4 results: buy, sell or hold?. Sell USDINR; target of: 73.50 - 73.35 : ICICI Direct. Hot Stocks | Here's why LIC Housing Finance and Glenmark Pharma are top buys	-1
